gene	degree	weighted_degree	betweenness	closeness	eigenvector	pagerank
Rv3204	0	0	0.0	0.0	1.4795707406838718e-50	8.257638315441785e-05
Rv1480	4	3469	0.0001972988369635041	0.18334484400128037	2.0710575851574968e-07	0.00035564717546754984
Rv3799c	13	11151	0.0005944442013739502	0.26901225393922157	0.001553415154447072	0.00044510069388221886
Rv1417	23	18406	0.003254863748352874	0.2636240590647207	0.020739153158722115	0.0005780561717080478
Rv0632c	19	14945	0.0033021456094858848	0.25375065482983783	0.0004537441978772541	0.0007894262172584957
Rv0156	5	4726	0.0	0.20932526968624868	2.1811217270497836e-05	0.00035853869142210294
Rv3794	24	20104	0.001973391685609783	0.28225244221536533	0.003450533854799797	0.000792949641521231
Rv3887c	7	6217	0.0021131671873116566	0.19202752257393133	3.957418686499638e-06	0.0006131239544518612
Rv2456c	3	2578	7.275086342491596e-05	0.2072717366416953	2.8253236435947882e-05	0.00022832622260067807
Rv1185c	18	13965	0.0025229491332966164	0.24045135426223624	0.0006446650671186022	0.0006319726244272474
Rv2460c	15	12262	0.0007708697277365212	0.257411693453545	0.0052978743677918405	0.00045653922215747785
Rv2708c	4	3068	0.00029294940813673977	0.21125301194095694	6.0865943624125616e-05	0.0002820571537114302
Rv0038	12	9484	0.0028458505445625045	0.23251290816148476	5.498585476390034e-05	0.0007245016670850192
Rv2954c	15	11751	0.0015307384043230093	0.2286393483928825	0.0008612351366000376	0.0007060442307441252
Rv0055	78	73538	0.0002840818500708239	0.2902104001017917	0.1020431127922651	0.0013597242908577425
Rv0530	3	2193	0.0	0.19792113198116773	3.5081374828111325e-06	0.00018721740827170848
Rv2947c	13	11614	0.0010580574909437258	0.2329514208273921	0.000287698527477173	0.0005474847050690713
Rv3135	2	1674	0.0009737903924565345	0.17825645468064094	2.01461191714819e-07	0.0003465263495045113
Rv0672	6	5188	0.00012188872944686266	0.22473535951899423	3.338168205908295e-05	0.0003051064375835125
Rv3244c	21	16035	0.0018940462275312008	0.2529113472614921	0.0008546118036802517	0.0007673667399731171
Rv0667	124	111579	0.02233316347441281	0.3320376641363138	0.0994391788509103	0.0027131678336806946
Rv3614c	6	5294	0.000476880883291084	0.2025907322436555	1.1678847508702175e-05	0.00037725665164983855
Rv3757c	4	3880	0.0	0.002114164904862579	1.1277559072535665e-14	0.0006091805871405332
Rv3257c	4	3615	0.00015750335626381925	0.20867240334804596	5.502567818219714e-06	0.00029201949647219227
Rv1610	27	20050	0.005185798239819414	0.2655861964543853	0.0010150059347694752	0.0009544943630403863
Rv0017c	20	17180	0.0006415598370954586	0.24281478054789257	0.00015425388777883436	0.0008037005622213605
Rv2982c	7	5961	0.0012687145435964753	0.22166401763710847	4.7166226559228696e-05	0.0004571336988327896
Rv3701c	8	6791	0.002329631472599053	0.2131316888456615	7.181674499925697e-06	0.0005396326721564358
Rv1620c	3	2995	0.0	0.17760581172029793	1.1180053154735277e-06	0.00038237937571199913
Rv2418c	18	14548	0.0034964258387453757	0.2590311572452353	0.0005538349652707483	0.0007927873273360194
Rv1498c	1	806	0.0	0.1584971023357234	1.3643158275629113e-07	0.00019336383870858527
Rv3119	10	8910	0.0020167665219240965	0.2206588077179076	4.620423990756732e-05	0.0006303960893134933
Rv0053	103	95337	0.004353783867349435	0.3109477427891584	0.11412356679108981	0.0018692361512154686
Rv0247c	27	22701	0.0009076291308435415	0.2623748600920284	0.003120982277707208	0.0007244947232583282
Rv2698	2	1593	0.0	0.2006666013200717	1.2107200025928073e-05	0.00019668123212243183
Rv1798	5	4427	1.241365271729684e-06	0.20147228905435555	5.48132160172228e-06	0.00034016159270091543
Rv2750	5	4036	0.001084901028437584	0.23665941691425402	0.0002853008757947646	0.00030766406576432083
Rv2592c	9	7730	0.00015799496120979503	0.23735907520520524	0.00017818026481503766	0.00045404442911689525
Rv3411c	18	15458	0.003688244658808185	0.2717438050030823	0.0029918556679865782	0.0006417279097473363
Rv0242c	6	5781	0.00011504801010976848	0.23735907520520524	0.00041903102629102995	0.00034065786268264154
Rv1006	7	5330	0.0017165832123648226	0.21089232253259962	3.941124330028668e-06	0.0005083835684658807
Rv3465	6	5547	9.158826251576839e-05	0.20172539494512734	4.0925115652608765e-06	0.00045911123845120914
Rv2711	5	4080	0.001959752612094642	0.21954254084812874	8.846255997444509e-05	0.0004403177052602403
Rv3280	20	17418	0.0018005421830863564	0.2603752462726145	0.000560053143017505	0.0007471722247389953
Rv0309	3	2342	0.001085611474366843	0.20421393154816403	6.145040174074193e-05	0.0002944994339623919
Rv0810c	1	755	0.0	0.0005285412262156448	9.023056760059197e-22	0.0005505092210294525
Rv1827	11	9391	0.0010742860287065528	0.2549188988352459	0.00021358488920818759	0.0004768505365871449
Rv0134	1	803	0.0	0.1584971023357234	1.3592377289491534e-07	0.0001929514784521802
Rv3423c	16	13545	0.0024426672572795145	0.25991164515429166	0.0019494396686422165	0.0006904602886625238
Rv0510	9	8216	0.00021750648433475523	0.22363985289181246	2.967073798710586e-05	0.0005014065238369984
Rv3842c	3	2591	0.0010879669026581035	0.19355522465805372	1.757851311160643e-06	0.0003778135415291615
Rv1468c	0	0	0.0	0.0	1.4795707406838718e-50	8.257638315441785e-05
Rv2327	2	1596	0.0	0.19193570927124237	3.3839198240425033e-07	0.0002181596040625599
Rv3075c	1	949	0.0	0.18662646952152645	1.3852922902725634e-06	0.00012762112078246944
Rv0169	21	18918	0.0008067875650619826	0.23335767239692107	0.00014317894223701412	0.000735523180182201
Rv3849	5	3904	0.00041247980536158975	0.2185564371530167	5.513850445961689e-06	0.0002702955812857293
Rv1839c	0	0	0.0	0.0	1.4795707406838718e-50	8.257638315441785e-05
Rv2521	1	710	0.0	0.19517857587981205	6.166277092665847e-06	0.00012979884212173149
Rv3227	10	8710	0.0006030389350789805	0.24164546933983652	0.0004003394269409062	0.00046934232472128635
Rv2992c	70	64156	0.00984775717717931	0.2990193936244346	0.06467117960346976	0.001642566292952733
Rv3478	1	919	0.0	0.14215068553144597	1.3786849281805029e-08	0.00023023981210258996
Rv0693	8	7415	0.00010835504483537629	0.21330156001105388	1.7036206623758245e-05	0.000507536268219592
Rv2243	31	28500	0.0010742850759825934	0.27728097802852936	0.005452402184216319	0.0009182978131077325
Rv3519	0	0	0.0	0.0	1.4795707406838718e-50	8.257638315441785e-05
Rv0270	4	2823	0.0	0.23057641352142644	0.0003601520496370635	0.0001637228613407961
Rv3813c	3	2398	0.0	0.0015856236786469344	1.1620288324095638e-16	0.0005394100834027651
Rv2840c	7	6253	1.6942301421783764e-05	0.25054363297912524	0.004189525187418765	0.0002355124098076287
